id,question,answer,context,difficulty
0,К кому применяются положения настоящего Федерального закона?,"Положения настоящего Федерального закона применяются к обработке персональных данных граждан Российской Федерации, осуществляемой иностранными юридическими лицами или иностранными физическими лицами, на основании договора, стороной которого являются граждане Российской Федерации, иных соглашений между иностранными юридическими лицами, иностранными физическими лицами и гражданами Российской Федерации либо на основании согласия гражданина Российской Федерации на обработку его персональных данных.","Положения настоящего Федерального закона применяются к обработке персональных данных граждан Российской Федерации, осуществляемой иностранными юридическими лицами или иностранными физическими лицами, на основании договора, стороной которого являются граждане Российской Федерации, иных соглашений между иностранными юридическими лицами, иностранными физическими лицами и гражданами Российской Федерации либо на основании согласия гражданина Российской Федерации на обработку его персональных данных.",medium
1,На каком основании может осуществляться обработка персональных данных граждан РФ иностранными лицами?,"Обработка персональных данных граждан РФ иностранными лицами может осуществляться на основании договора, стороной которого являются граждане РФ, иных соглашений или на основании согласия гражданина РФ на обработку его персональных данных.","Положения настоящего Федерального закона применяются к обработке персональных данных граждан Российской Федерации, осуществляемой иностранными юридическими лицами или иностранными физическими лицами, на основании договора, стороной которого являются граждане Российской Федерации, иных соглашений между иностранными юридическими лицами, иностранными физическими лицами и гражданами Российской Федерации либо на основании согласия гражданина Российской Федерации на обработку его персональных данных.",easy
2,Какие отношения не подпадают под действие данного Федерального закона?,"Данный Федеральный закон не распространяется на отношения, возникающие при обработке персональных данных физическими лицами исключительно для личных и семейных нужд, если при этом не нарушаются права субъектов персональных данных.","Действие настоящего Федерального закона не распространяется на отношения, возникающие при:  1) обработке персональных данных физическими лицами исключительно для личных и семейных нужд, если при этом не нарушаются права субъектов персональных данных; ",easy
3,В каких случаях обработка персональных данных не требует соблюдения требований данного закона?,"Обработка персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну, не требует соблюдения требований данного закона.","4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну;",medium
4,Каким законом осуществляется обеспечение доступа к информации о деятельности судов в Российской Федерации?,Обеспечение доступа к информации о деятельности судов в Российской Федерации осуществляется в соответствии с Федеральным законом от 22 декабря 2008 года N 262-ФЗ 'Об обеспечении доступа к информации о деятельности судов в Российской Федерации'.,"Предоставление, распространение, передача и получение информации о деятельности судов в Российской Федерации, содержащей персональные данные, ведение и использование информационных систем и информационно-телекоммуникационных сетей в целях создания условий для доступа к указанной информации осуществляются в соответствии с Федеральным законом от 22 декабря 2008 года N 262-ФЗ 'Об обеспечении доступа к информации о деятельности судов в Российской Федерации'.",easy
5,Что регулирует Федеральный закон от 22 декабря 2008 года N 262-ФЗ?,"Этот федеральный закон регулирует предоставление, распространение, передачу и получение информации о деятельности судов в Российской Федерации, содержащей персональные данные, ведение и использование информационных систем и информационно-телекоммуникационных сетей в целях создания условий для доступа к указанной информации.","Предоставление, распространение, передача и получение информации о деятельности судов в Российской Федерации, содержащей персональные данные, ведение и использование информационных систем и информационно-телекоммуникационных сетей в целях создания условий для доступа к указанной информации осуществляются в соответствии с Федеральным законом от 22 декабря 2008 года N 262-ФЗ 'Об обеспечении доступа к информации о деятельности судов в Российской Федерации'.",medium
6,Какова основная цель настоящего Федерального закона?,Основная цель настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных.,"Целью настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных, в том числе защиты прав на неприкосновенность частной жизни, личную и семейную тайну.",easy
7,Какие права защищает данный закон?,"Данный закон защищает права на неприкосновенность частной жизни, личную и семейную тайну.","Целью настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных, в том числе защиты прав на неприкосновенность частной жизни, личную и семейную тайну.",medium
8,Какие основные понятия используются в настоящем Федеральном законе?,"В настоящем Федеральном законе используются следующие основные понятия: субъекта персональных данных, оператора, обработку персональных данных, цели обработки персональных данных, категории персональных данных, местонахождение персональных данных, сроки обработки персональных данных, порядок обеспечения безопасности персональных данных.",В целях настоящего Федерального закона используются следующие основные понятия:,easy
9,Что необходимо указать в тексте Федерального закона для определения его целей?,"Для определения целей настоящего Федерального закона используются основные понятия, такие как субъекты персональных данных, операторы и обработка персональных данных.",(в ред. Федерального закона от 25.07.2011 N 261-ФЗ),medium
10,Что такое персональные данные согласно данному определению?,"Персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных).","персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);",easy
11,Какие персональные данные считаются разрешенными к распространению согласно данному тексту?,"Персональные данные, доступ к которым предоставлен неограниченному кругу лиц субъектом персональных данных путем дачи согласия на обработку.","1.1) персональные данные, разрешенные субъектом персональных данных для распространения, - персональные данные, доступ неограниченного круга лиц к которым предоставлен субъектом персональных данных путем дачи согласия на обработку персональных данных, разрешенных субъектом персональных данных для распространения в порядке, предусмотренном настоящим Федеральным законом; ",medium
12,Какие действия осуществляет оператор в отношении обработки персональных данных?,"Оператор определяет цели обработки персональных данных, состав персональных данных, подлежащих обработке, действия (операции), совершаемые с персональными данными.","оператор - государственный орган, муниципальный орган, юридическое или физическое лицо, самостоятельно или совместно с другими лицами организующие и (или) осуществляющие обработку персональных данных, а также определяющие цели обработки персональных данных, состав персональных данных, подлежащих обработке, действия (операции), совершаемые с персональными данными;",easy
13,Какими субъектами может быть оператор?,"Оператором может быть государственный орган, муниципальный орган, юридическое или физическое лицо.","оператор - государственный орган, муниципальный орган, юридическое или физическое лицо, самостоятельно или совместно с другими лицами организующие и (или) осуществляющие обработку персональных данных, а также определяющие цели обработки персональных данных, состав персональных данных, подлежащих обработке, действия (операции), совершаемые с персональными данными;",medium
14,Что включается в определение 'обработки персональных данных' согласно данному тексту?,"В определение 'обработки персональных данных' входят сбор, запись, систематизация, накопление, хранение, уточнение, извлечение, использование, передача, обезличивание, блокирование, удаление и уничтожение персональных данных.","обработка персональных данных - любое действие (операция) или совокупность действий (операций), совершаемых с использованием средств автоматизации или без использования таких средств с персональными данными, включая сбор, запись, систематизацию, накопление, хранение, уточнение (обновление, изменение), извлечение, использование, передачу (распространение, предоставление, доступ), обезличивание, блокирование, удаление, уничтожение персональных данных;",medium
15,"Какие действия относятся к обработке персональных данных, согласно тексту?","К обработке персональных данных относятся действия, такие как сбор, запись, систематизация и хранение персональных данных.","обработка персональных данных - любое действие (операция) или совокупность действий (операций), совершаемых с использованием средств автоматизации или без использования таких средств с персональными данными, включая сбор, запись, систематизацию, накопление, хранение, уточнение (обновление, изменение), извлечение, использование, передачу (распространение, предоставление, доступ), обезличивание, блокирование, удаление, уничтожение персональных данных;",easy
16,Что такое автоматизированная обработка персональных данных?,Автоматизированная обработка персональных данных - обработка персональных данных с помощью средств вычислительной техники.,4) автоматизированная обработка персональных данных - обработка персональных данных с помощью средств вычислительной техники;,easy
17,Какие средства используются при автоматизированной обработке персональных данных?,При автоматизированной обработке персональных данных используются средства вычислительной техники.,4) автоматизированная обработка персональных данных - обработка персональных данных с помощью средств вычислительной техники;,medium
